City       JAN   FEB   MAR  APR    MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
Seoul     20.8  25.0  47.2  64.5 105.9 133.2 394.7 364.2 169.3  51.8  52.5  21.5
Tokyo     52.3  56.1 117.5 124.5 137.8 167.7 153.5 168.2 209.9 197.8  92.5  51.0
NYcity    92.7  78.5 110.7 114.3 106.4 112.0 116.8 112.8 108.7 111.8 102.1 101.6
SaoPaulo 237.4 221.5 160.5  72.6  71.4  50.1  43.9  39.6  70.7 126.9 145.8 200.7
Cairo      5.0   3.8   3.8   1.1   0.5   0.1   0.0   0.0   0.0   0.7   3.8   5.9
Istanbul 105.0  78.0  70.8  45.2  34.1  35.0  31.6  40.7  59.5  90.0 101.3 122.0
Paris     53.7  43.7  48.5  53.0  65.0  54.6  63.1  43.0  54.7  59.7  51.9  58.7
Karachi    6.0   9.8  11.7   4.4   0.0   5.5  85.5  67.4  19.9   1.0   1.8   4.4
Lagos     13.2  40.6  84.3 146.3 202.4 315.5 243.0 121.7 160.0 125.1  39.7  14.8
Shanghai  74.4  59.1  93.8  74.2  84.5 181.8 145.7 213.7  87.1  55.6  52.3  43.9
